OBJECTID,PlotID,SiteName,PreviouslyEvaluated,EstablishmentDate,Project,PriorityOrder,SamplingApproach,BaseOver,DesignStratum,MultidensityCategory,FieldOffice,DistrictOffice,AdminState,StateCode,SpeciesState,County,WetlandIndicatorRegion,LRR,ElevationFt,CowardinAttribute,Allotment,DesignLatitudeWGS84,DesignLongitudeWGS84,OfficeEvaluator,EvalStatus,OfficeEvalDate,NotSampledReason,RejectEvidence1,RejectEvidence2,OfficeEvalComments,AccessNotes,DistancefromRoad,PlotLayoutComments,AdditionalGuidanceNeeded,SampleTiming,Monumenting,BLMComments,BLMContact,Hitch,Hitch Notes,CollectWQ,CollectAnnualUse,CollectHummocks,Supplementals,GlobalID,CandidateReference,created_user,created_date,last_edited_user,last_edited_date,x,y
262,ID-USFO-TW-24022,Spring 255 Indian Creek Allotment Unique ID 609,No,,ID_UpperSnakeFO_2024,2,Targeted,Over,,,Upper Snake Field Office,Idaho Falls District Office,ID,ID,ID,Clark County,Arid West,B,6735.60302880859,,,44.3802867259129,-112.442700417096,,Targeted - Oversample,,,,,,"From Idaho Falls, ID: Follow 1-15N for 48 miles towards Roberts/Butte. Take exit 167 for ID-22 towards Dubois, ID. Turn left onto ID-22 and continue for  6 miles. Turn right onto Medicine Lodge Rd and continue for 4.2 miles. At (44.217776, -112.38445) turn right onto Doschades Cow Camp Rd and continue for 2.7 miles. At (44.25656, -112.3848) turn left onto Lau Ln and continue for 0.6 miles. At the Y-intersection, take a slight right onto Indian Crk Rd and continue for 8.3 miles. At (44.36030, -112.44887), turn right onto Cabin Creek road (2-track) for 1.3 miles. Park on BLM land at 44.37444, -112.44300 and hike 700 meters NNE to plot.",,,,June is ideal.,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Collect baseline data for changes in grazing management; Access Instructions: same,Juley Hankins Smith: jhsmith@blm.gov,,,Yes,No,Yes,,c6866c84-c810-4ba2-8b44-237c0de3ebf5,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:43 AM,laurensnobl,4/9/2024 6:17:51 PM,-112.442700417,44.3802867260001
263,ID-USFO-TW-24023,Willow Springs 403 385 Cole Canyon Allotment Unique ID 628,No,,ID_UpperSnakeFO_2024,1,Targeted,Base,,,Upper Snake Field Office,Idaho Falls District Office,ID,ID,ID,Clark County,"Western Mountains, Valleys, and Coast",B,6464.9453605957,,,44.3777274607901,-112.629312427098,,Sampled - Data reviewed,,,,,,"From Idaho Falls, ID: Follow 1-15N for 48 miles towards Roberts/Butte. Take exit 167 for ID-22 towards Dubois, ID. Turn left onto ID-22 and continue for  6 miles. Turn right onto Medicine Lodge Rd and continue for 13 miles. At (44.36835, -112.61505) take a sharp left turn onto Weber Creek Rd and continue for 1 mile. At (44.36850, -112.61508), after turn onto an unnamed 2-track on BLM land heading NW. Continue for 1 mile and park on BLM land at (44.37379, -112.63335). Hike 0.4 miles NNE to plot. May need to hike in from Webber Cr Rd if 2track conditions are not passable.",,,,June is ideal,Tablet GPS and photos,Crew can move the point as needed; Plot should represent site potential; Monitoring Goals: Reference data; Access Instructions: access through main roads and two tracks in area,Juley Hankins Smith: jhsmith@blm.gov,,,Yes,No,Yes,,84b35a73-7254-41cb-85f0-85cd854f630b,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:45 AM,laurensnobl,8/29/2024 10:01:01 PM,-112.629312427,44.3777274610001
264,ID-USFO-TW-24024,Knife Spring 05 Crooked Creek Allotment Unique ID 725,No,,ID_UpperSnakeFO_2024,1,Targeted,Base,,,Upper Snake Field Office,Idaho Falls District Office,ID,ID,ID,Clark County,Arid West,B,7119.56974365234,,,44.2888603142271,-112.624334247167,,Sampled - Data reviewed,,,,,,"From Idaho Falls, ID: Follow 1-15N for 48 miles towards Roberts/Butte. Take exit 167 for ID-22 towards Dubois, ID. Turn left onto ID-22 and continue for 17.5 miles. Take a right turn onto Crooked Creek Rd/Emigrant Trail Rd and follow for 7.8 miles. At (44.2074938, -112.65464), take a slight right onto Warm Spring Rd. Stay on Warm Spring Rd for about 6.5 miles. At (44.28335, -112.64410) turn left onto Deep Creek-Antelope Lakes Rd. Stay on Deep Creek/Antelope Lakes Rd for 1 mile. At (44.28303, -112.62758) turn left onto a 2-track Mud Springs Rd. Park on BLM land at (44.28885, -112.62582) and hike 50 NE meters to plot.",,Transverse,,June is ideal,Tablet GPS and photos,Crew can move the point as needed; Plot should represent site potential; Monitoring Goals: Reference data; Access Instructions: access through roads in area,Juley Hankins Smith: jhsmith@blm.gov,,,Yes,No,Yes,,a5310541-61e1-4beb-baac-ed7b35548c88,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:46 AM,laurensnobl,8/6/2024 4:18:32 PM,-112.624334247,44.288860314
265,ID-USFO-TW-24025,Lone 40 Spring 7 Crooked Creek Allotment Unique ID 726.1,No,,ID_UpperSnakeFO_2024,1,Targeted,Base,,,Upper Snake Field Office,Idaho Falls District Office,ID,ID,ID,Clark County,Arid West,B,6873.33854370117,,,44.2704561356876,-112.612948269899,,Sampled - Data reviewed,,,,,,"From Idaho Falls, ID: Follow 1-15N for 48 miles towards Roberts/Butte. Take exit 167 for ID-22 towards Dubois, ID. Turn left onto ID-22 and continue for 17.5 miles. Take a right turn onto Crooked Creek Rd/Emigrant Trail Rd and follow for 7.8 miles. At (44.2074938, -112.65464), take a slight right onto Warm Spring Rd. Stay on Warm Spring Rd for about 6.5 miles. At (44.28335, -112.64410) turn left onto Deep Creek-Antelope Lakes Rd. Stay on Deep Creek/Antelope Lakes Rd for 1.3 miles, staying to the left at (44.282734, -112.6234)to remain on Deep Crk Rd. Park on BLM land at (44.26988, -112.61364) and hike 50m NE to plot.",,,,June is ideal,Tablet GPS and photos,Crew can move the point as needed; Plot should represent site potential; Monitoring Goals: Reference data; Access Instructions: access from nearest road,Juley Hankins Smith: jhsmith@blm.gov,,,Yes,No,Yes,,b2a7f4a0-2a23-475f-8cb4-4a09c2c76ea7,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:48 AM,laurensnobl,8/6/2024 4:18:50 PM,-112.61294827,44.2704561360001
266,WY-CAFO-TW-24035,Alkali Creek,No,,WY_CasperFO_2024,2,Targeted,Over,,,Casper Field Office,High Plains District,WY,WY,WY,Natrona County,"Western Mountains, Valleys, and Coast",G,5934.75426428223,PEM1C,,43.3342341213887,-106.888796616077,,Targeted - Oversample,,,,,,,,,,Unsure,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Rangeland health and condition assessment. ; Access Instructions: From lotic source: Took long two track route north of site from 33-mile road that forms a C-shape. Track sees little use and is generally in good condition. Little technical driving required.,Shane Evans: sevans@blm.gov,,,Yes,No,Yes,eDNA interest,36079bfe-b741-4274-b1ba-a2297c851695,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:50 AM,jascott@blm.gov_BLM_EGIS,4/22/2024 10:16:21 PM,-106.888796616,43.3342341210001
267,WY-CAFO-TW-24036,Meadow Creek ,No,,WY_CasperFO_2024,2,Targeted,Over,,,Casper Field Office,High Plains District,WY,WY,WY,Natrona County,Arid West,D,6695.14483837891,,,42.7082885177591,-106.898543072422,Elyssa Winterton,Targeted - Oversample,8/23/2024 6:00:00 AM,,,,,,,,,No,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Rangeland health assessment. Was classified as lentic by lotic crew (CAS-TR-50978). ; Access Instructions: Took two track from south at end of Oregon Trail Rd at four-way intersection. High clearance recommended as ruts are deep but dry at this time of year.,Shane Evans: sevans@blm.gov,,,Yes,No,Yes,eDNA interest,f86983b2-3e1b-4f76-81aa-ea6dfdc430e3,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:52 AM,elyssa.winterton,8/23/2024 5:43:33 PM,-106.898543072,42.7082885180001
268,WY-CAFO-TW-24037,Cobble Seep,No,,WY_CasperFO_2024,1,Targeted,Base,,,Casper Field Office,High Plains District,WY,WY,WY,Natrona County,Arid West,D,6826.85103515625,,,42.7048684633682,-106.907257492066,Elyssa Winterton,Sampled - Data reviewed,6/3/2024 6:00:00 AM,,,,,"Took two track from south at end of Oregon Trail Rd at for-way intersection. High clearance recommended as ruts are deep but dry at this time of year.  OLD PIONT DIRECTIONS: From the intersection of highways 220 and 257, just south of Red Butte, head south on highway 220 for about 35 miles then turn right onto 319 (Oregon Trail Rd). Head north for about 3 miles then keep right at the fork and continue for another 3.5 miles. At the intersection turn left onto an unnamed dirt road. This road with turn north again after 0.2 miles then continue north for 5.5 more miles. From here continure straigt onto a two track if passable and stay on the two track for another .2 miles and then walk north to the site. If the two track is not passable follow the dirt road another 0.1 miles north and then hike west 0.2 miles to the site.",0.2-0.3 mile,spoke,,No,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Restoration potential. ; Access Instructions: Took two track from south at end of Oregon Trail Rd at for-way intersection. High clearance recommended as ruts are deep but dry at this time of year.,Shane Evans: sevans@blm.gov,7,,Yes,No,Yes,eDNA interest,70cdef8f-e06d-437f-9333-bb75b8b706c1,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:54 AM,alexa.armstrong7,9/7/2024 12:12:56 AM,-106.907257492,42.704868463
269,CA-NCAD-TW-24063,Lacks Creek Target 1,No,,CA_NorthernDO_2024,1,Targeted,Base,,,Arcata Field Office,Northern California District,CA,CA,CA,Humboldt County,"Western Mountains, Valleys, and Coast",A,2639.56149615479,,,40.996835,-123.807773,Michael Heine,Sampled - Data reviewed,5/8/2024 10:30:00 PM,,,,,,,Transverse,,Mid-to-late season so water is still present. ,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Baseline sample fo the creek. Oak woodland restoration is planned for this area. Conifer removal is planned. A baseline for this creek would be helpful for pre- and post monitoring of the site.; Access Instructions: Contact BLM Ecologist, Crystal Welch prior to trying to access the site. This side of Lacks Creek is behind a locked gate. I will provide the code for the combo lock prior to the hitch. ",Crystal Welch: cwelch@blm.gov,,,Yes,YesContractCrew,Yes,,9b365457-56e0-4333-ad5e-d0a23e8299be,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:55 AM,ahoeft4,7/11/2024 8:36:32 PM,-123.807773,40.996835
270,CA-NCAD-TW-24064,Lacks CReek Target 2,No,,CA_NorthernDO_2024,1,Targeted,Base,,,Arcata Field Office,Northern California District,CA,CA,CA,Humboldt County,"Western Mountains, Valleys, and Coast",A,2497.45839031982,,,41.006809,-123.813772,Michael Heine,Sampled - Data reviewed,5/8/2024 10:30:00 PM,,,,Potentially very steep site,,,Transverse,,MId-to-late season would be fine.,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Baseline sample fo the creek. Oak woodland restoration is planned for this area. Conifer removal is planned. A baseline for this creek would be helpful for pre- and post monitoring of the site.; Access Instructions: PLease contact BLM Ecologist prior to hitch. The site has a combo lock for the west side. ,Crystal Welch: cwelch@blm.gov,,,Yes,YesContractCrew,Yes,,60be6164-7d93-4980-bbb9-1d02edf0128e,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:57 AM,ahoeft4,7/11/2024 8:36:25 PM,-123.813772,41.006809
271,CA-NCAD-TW-24065,Mattole Target 1,No,,CA_NorthernDO_2024,1,Targeted,Base,,,Arcata Field Office,Northern California District,CA,CA,CA,Humboldt County,"Western Mountains, Valleys, and Coast",A,20.2166120476723,R1UBV,,40.2923788365716,-124.329427573909,Michael Heine,Sampled - Data reviewed,5/1/2024 6:27:18 PM,,,,,From Highway 101 take Mattol Road toward the coast for approximately 3 miles. Drop into the riverbed to access plot.,,"Spoke, potentially shift east to more vegetated areas",,Later in the season.,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: The Mattole River has undergone geomorphic changes on the river bank due to recent large winter storms. Last season the Mattole was sampled, but upon QC it appeared some  monitoring results were inaccurate, so I would like this sampled again. ; Access Instructions: There are no access restricitons. ",Crystal Welch: cwelch@blm.gov,,,Yes,YesContractCrew,Yes,,49036e63-d012-4c59-bdb3-c559e4a95b7f,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:30:58 AM,king.b55633,9/17/2024 4:41:01 PM,-124.329427574,40.2923788370001
272,CA-NCAD-TW-24066,4 mile Creek Target 1,No,,CA_NorthernDO_2024,1,Targeted,Base,,,Arcata Field Office,Northern California District,CA,CA,CA,Humboldt County,"Western Mountains, Valleys, and Coast",A,83.1131429290772,,,40.2601200827367,-124.35248922601,Michael Heine,Sampled - Data reviewed,5/1/2024 6:09:37 PM,,,,,,,,,mid-to-late season would be fine.,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: This site should not be moved too far as it is near a private inholding. The crew must pass through private then will get to BLM near the sample point. ; Access Instructions: No access restrictions. There is a road down Lighthouse road and up on the bluff to Windy Point. From there, the crew can easily hike down and through the private parcel to the point. ",Crystal Welch: cwelch@blm.gov,,,Yes,YesContractCrew,Yes,,da3c1e86-82e8-403d-9aca-13825fbc15dc,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:00 AM,ahoeft4,7/11/2024 8:36:18 PM,-124.352489226,40.2601200830001
273,CA-NCAD-TW-24067,Bear Creek Target 1,No,,CA_NorthernDO_2024,1,Targeted,Base,,,Arcata Field Office,Northern California District,CA,CA,CA,Humboldt County,"Western Mountains, Valleys, and Coast",A,1166.10843252563,,,40.1448778933535,-124.073141604101,Michael Heine,Sampled - Data reviewed,5/1/2024 6:25:42 PM,,,,,"From Redway, CA head west on Briceland Rd. for about 10 miles before making a slight right onto Ettersberg Honeydew Rd. Follow this road for about 11.8 miles (it turns into Wilder Ridge Rd after about 7.8 miles). Then make a left onto Kings Peak Rd. and follow this road for 1.8 miles before you find a bridge. Park just past the bridge on the right side of the road then walk 300 m downstream to the site. Be careful as the rocks are covered with duff and it is a slippery way down to the creek.",,"Potentially able to fit spoke, transverse",,mid-to-late season is fine,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: This is a back up point. ; Access Instructions: No access restricitons. This creek near here was sampled in FY23, so there should be detailed directions already.  Contact BLM Ecologist for further details on how to access the site if there are issues. ",Crystal Welch: cwelch@blm.gov,,,Yes,YesContractCrew,Yes,,124db7d5-dc2b-4561-9bc8-456746176189,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:01 AM,ahoeft4,7/11/2024 8:36:02 PM,-124.073141604,40.1448778930001
275,OR-NWOD-TW-24001,Morgart Irrigation Arm (Finley Ditch),No,,OR_PrinevilleDO_2024,2,Targeted,Over,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Klamath County,"Western Mountains, Valleys, and Coast",A,4262.24248608398,,,43.597452,-121.525802,K. Zaret,Ready to field visit - Backup,7/27/2024 9:15:00 PM,,,,"Site might not meet criteria of hydrophytic vegetation, depending on how often the ditch fills/overflows. Site is dominated by emergent vegetation. Will need to shift point into wetland.","From La Pine, travel S. on Hwy 97 for 1.9 miles.  Turn left on OR-31 S. and follow about 3 miles.  Turn right onto Beal Rd. Follow 1.7 miles.  Turn right onto Howard Rd and follow 0.5 mile.  Turn right on unamed road and follow to end (about 0.6 mile).",0.04 mile.,Transverse,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Oregon Spotted Frog Habitat; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,e26ef127-f3e0-4b16-93f9-9c13335685a2,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:04 AM,kzaret5,7/27/2024 9:32:11 PM,-121.525802,43.597452
276,OR-NWOD-TW-24002,Poole Irrigation Arm (Finley Ditch),No,,OR_PrinevilleDO_2024,2,Targeted,Over,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Klamath County,"Western Mountains, Valleys, and Coast",A,4264.0443927002,,,43.597452,-121.52802,K. Zaret,Ready to field visit - Backup,7/27/2024 9:30:00 PM,,,,"Will need to shift point into site.  Might not meet criteria of hydrophytic vegetation, depending on how often the ditch fills/overflows.  Dominated by emergent vegetation.","From La Pine, travel S. on Hwy 97 for 1.9 miles.  Turn left on OR-31 S. and follow about 3 miles.  Turn right onto Beal Rd. Follow 1.7 miles.  Turn right onto Howard Rd and follow 0.5 mile.  Turn right on unamed road adn follow to end (about 0.6 mile).",0.12 miles,,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Oregon Spotted Frog Habitat; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,c635c006-ef2d-445a-860b-133e66827449,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:05 AM,kzaret5,7/27/2024 9:31:39 PM,-121.52802,43.597452
277,OR-NWOD-TW-24003,Poole Side Channel (Finley Ditch),No,,OR_PrinevilleDO_2024,2,Targeted,Over,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Deschutes County,"Western Mountains, Valleys, and Coast",A,4257.27132250977,,,43.618687,-121.527347,K. Zaret,Ready to field visit - Backup,7/27/2024 9:45:00 PM,,,,Keep an eye on the Jackpine Fire and to the NW across Hwy 97. May not meet sampling criteria depending on how often the ditch fills/overflows.  Will need to move point at least 47 m north to potential channel/ditch.,"From La Pine, travel S. on Hwy 97 for 7.2 miles. Turn left on unamed road.  (It's the first substantial left after passing the junction with OR-31.  If you pass Michael Rd., you've gone too far).  Follow for 0.6 miles, then turn left.  Follow 3 miles then either park or may be able to take smaller spur another 0.3 miles roughly N. to point.",0.18 miles,Diagonal,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Oregon Spotted Frog Habitat; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,3deed8a3-e394-49f4-887e-fa598a7016f7,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:07 AM,kzaret5,7/27/2024 9:50:00 PM,-121.527347,43.6186870000001
278,OR-NWOD-TW-24004,State Rec Road,No,,OR_PrinevilleDO_2024,1,Targeted,Base,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Deschutes County,"Western Mountains, Valleys, and Coast",A,4187.04863061523,PEM1C,,43.770916,-121.476283,Misha VanEaton,Sampled - Data reviewed,6/12/2024 7:00:00 AM,,,,Large wetland with mixed vegetation surrounding Little Deschutes River. Point is right next to road.,"From La Pine, take hwy 97 north for 7.3 mi. Turn left (W) onto La Pine State Recreation Rd. In 1.2 mi, take the pull off the road right before crossing the river and park.",20m,Spoke. Will need to shift point away from road and to an area with limited scour channel/deep water. Likely NW or NE ~50m.,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Oregon Spotted Frog Habitat; oxbow restoration; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,3a5151e2-5318-4102-b302-dba1ad052d94,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:08 AM,kzaret5,7/28/2024 12:42:25 AM,-121.476283,43.7709160000001
279,OR-NWOD-TW-24005,Little Deschutes R. near Ringo Rd.,No,,OR_PrinevilleDO_2024,1,Targeted,Base,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Klamath County,"Western Mountains, Valleys, and Coast",A,4334.51500195312,PEM1C,,43.521699,-121.6553159,Misha VanEaton,Sampled - Data reviewed,6/12/2024 7:00:00 AM,,,,Large shrub dominated wetland surrounding Little Deschutes river. Mottling in CIR.,,200m,Spoke,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Oregon Spotted Frog Habitat; weeds treatments; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,e9b956fb-e289-46fb-a3d7-424df2b8fe2b,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:10 AM,kzaret5,7/24/2024 12:48:59 AM,-121.6553159,43.5216990000001
280,OR-NWOD-TW-24006,Jerry Rd. BLM Parcel,No,,OR_PrinevilleDO_2024,2,Targeted,Over,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Klamath County,"Western Mountains, Valleys, and Coast",A,4284.0636192627,PEM1A,,43.571667,-121.5395335,K. Zaret,Ready to field visit - Backup,7/27/2024 9:00:00 PM,,,,"Site may not meet target criteria in terms of hydrophytic vegetation, but the site might qualify as a temporarily flooded emergent wetland (based on google earth imagery).  There is a wetter-looking area about 280 m to the S.","From La Pine, travel S. on Hwy 97 for 7.6 miles. Turn left (E.) onto Michael Rd. Follow 0.5 miles to sploit (right before power lines).  Veer right and follow 1.3 miles to T junction.  Turn left and follow about 0.5 mile. Park and walk 0.3 mile to point.",0.3 mile,Spoke,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Inventory resources; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,c62a03cb-6bd8-4ea4-985f-b55237307fa3,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:11 AM,kzaret5,7/27/2024 9:15:03 PM,-121.5395335,43.571667
281,OR-NWOD-TW-24007,Whychus Creek BLM ‘wedge’ ,No,,OR_PrinevilleDO_2024,1,Targeted,Base,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Deschutes County,Arid West,B,2675.56518438721,,,44.383713,-121.4069738,Misha VanEaton,Sampled - Data reviewed,6/12/2024 7:00:00 AM,,,,Wide wetland area surrounding creek with mixed vegetation type.,"From Sisters, take hwy 126 east for 5.4mi and turn left (N) on Holmes Rd. In 1.5 mi, turn right (W) to stay on Holmes Rd. Drive another 5.5 mi and turn left onto a dirt road (44.376919, -121.381824). Drive ~0.6 mi to the top of the hill. Park close to the top to stay on BLM land and hike 1.2 miles into the site.","0.6 mi from nearest rd, 1.0mi from road nearest to 24008",Spoke. Point currently in upland. Will need to shift west ~60m to the other side of the creek.,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Restored to Stage 0 condition in 2023; adaptive management 2024; listed fish species; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,1df8a50f-983e-4ef3-9ec5-13cb519ce4b4,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:13 AM,kzaret5,8/9/2024 8:24:32 PM,-121.4069738,44.3837130000001
282,OR-NWOD-TW-24008,Whychus Creek BLM ‘triangle’ ,No,,OR_PrinevilleDO_2024,1,Targeted,Base,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Deschutes County,Arid West,B,2659.58632989502,R3USA,,44.374123,-121.4113517,Misha VanEaton,Sampled - Data reviewed,6/12/2024 7:00:00 AM,,,,"Large wetland with mixed vegetation next to creek. Whole plot likely shrub dominated, but clear divide between two vegetation sections. Could be a good location for two soil pits. Significant flooding/ponding downstream of the point.","From Sisters, take hwy 126 east for 5.4mi and turn left (N) on Holmes Rd. In 1.5 mi, turn right (W) to stay on Holmes Rd. Drive another 4.8 mi, park, and hike 1.2 mi into the site. Hike in around (44.367084, -121.390616) to avoid hiking in private land.",1.5mi,Spoke,,No,Rebar with caps,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Restored to Stage 0 condition in 2023; adaptive management 2024; listed fish species
; Access Instructions: TBD","Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,2d027093-7136-4490-b2db-f84c6e7b3b50,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:14 AM,kzaret5,8/9/2024 10:44:32 PM,-121.4113517,44.3741230000001
283,OR-NWOD-TW-24009,Sanford Creek,No,,OR_PrinevilleDO_2024,1,Targeted,Base,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Crook County,Arid West,B,3716.18227575684,,,44.1084715,-120.631891,Misha VanEaton,Reattempt,6/12/2024 7:00:00 AM,Reattempt - Different route or permission needed,,,Forested/shrubby riparian corridor along stream.,"From Prineville, take hwy 380 east for 20.8 mi and turn right (S) onto SE Conant Basin Rd. In 4.8 mi, turn right (W) onto SE Osprey rd. In 0.2 mi, turn right onto SE Dead End Rd (44.125681, -120.587041). In 1 mile, come to a 5-way split and take the slight right turn (NW) (44.131448, -120.602321). In 0.4 mi, turn right (W) (44.135052, -120.609622). Drive 1.4mi and turn left onto another dirt road (44.139404, -120.634232). Drive 1.5 mi and turn right (S) (44.119809, -120.630086). Drive ~0.8mi into the canyon, park, and hike into the point.",0.3 mi,Diagonal,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Restoration (fuels treatments) near large riparian exclosure; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,2df2e45a-5485-410d-a341-7f179722289c,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:16 AM,rewhittington@blm.gov_BLM_EGIS,10/25/2024 9:56:36 PM,-120.631891,44.1084715000001
284,OR-NWOD-TW-24010,Stenkamp Rd. Irrigation Ditch Spillover,No,,OR_PrinevilleDO_2024,2,Targeted,Over,,,PRINEVILLE DESCHUTES FIELD OFFICE,PRINEVILLE DISTRICT OFFICE,OR,OR,OR,Deschutes County,Arid West,B,3325.04197802734,,,44.095316,-121.1506576,K. Zaret,Ready to field visit - Backup,7/27/2024 12:45:00 AM,,,,Emergent wetland surrounding an engineered channel.  There appears to be juniper encroachement. The plot should be shifted into the wetland. The site is very close to private property.,"From Bend, drive E on Hwy 20 for about 5 miles then turn left on Powell Butte Road. Follow to roundabout in about 0.9 miles and turn right onto Alfalfa Market Rd. Follow 2 miles and turn left on Stenkamp Rd.",0.62 miles,Spoke,,No,Rebar with caps,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Inventory resources; Access Instructions: TBD,"Robert Pattison, Eric Van Dam:  rpattison@blm.gov, evandam@blm.gov",,,No,No,No,,abdc9c96-1637-47a7-be1d-af407c3c7819,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:31:17 AM,kzaret5,7/27/2024 9:33:03 PM,-121.1506576,44.095316
