OBJECTID,PlotID,Project,FieldEvalDate,VisitType,StaticEvaluationID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
212,CA-ELFO-TW-24079,CA_ApplegateEagleLakeFO_2024,5/19/2024 7:39:36 PM,Full Sample Visit,CA-ELFO-TW-24079_2024-05-19,7c4e2942-b291-4e0c-9336-79eb685c0c6d,tgaffney4,5/19/2024 7:39:40 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:51:54 PM,-120.144042032468,40.7280269146176
213,CA-ELFO-TW-21122,CA_ApplegateEagleLakeFO_2024,5/20/2024 3:56:51 PM,Full Sample Visit,CA-ELFO-TW-21122_2024-05-20,fec88fed-3cfc-4c20-bf44-e4b35b34f878,tgaffney4,5/20/2024 3:56:55 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:51:56 PM,-120.12544900006,40.6865090001503
214,CA-ELFO-TW-24075,CA_ApplegateEagleLakeFO_2024,5/17/2024 6:14:30 PM,Full Sample Visit,CA-ELFO-TW-24075_2024-05-17,26195fea-5334-40c7-8b48-73257c54d7a1,lmartin4,5/17/2024 6:14:34 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:51:57 PM,-120.427630784761,40.6492937779481
215,CA-ELFO-TW-22093,CA_ApplegateEagleLakeFO_2024,5/18/2024 5:33:52 PM,Full Sample Visit,CA-ELFO-TW-22093_2024-05-18,19e2ed68-e3a2-445a-b849-c51a93198cd6,lmartin4,5/18/2024 5:34:00 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:51:59 PM,-120.451453300307,40.6790766700012
216,CA-ELFO-TW-24079,CA_ApplegateEagleLakeFO_2024,5/19/2024 7:32:53 PM,Full Sample Visit,CA-ELFO-TW-24079_2024-05-19,f78e2300-4b07-4afd-b60b-3e23cdaffbec,lmartin4,5/19/2024 7:32:58 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:01 PM,-120.144043699741,40.7280299998085
217,CA-ELFO-TW-21122,CA_ApplegateEagleLakeFO_2024,5/20/2024 4:53:26 PM,Full Sample Visit,CA-ELFO-TW-21122_2024-05-20,3fe3445c-9064-4430-ade0-fdc77de080fb,lmartin4,5/20/2024 4:53:33 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:03 PM,-120.125446938426,40.6865065376789
218,CA-ELFO-TW-22095,CA_ApplegateEagleLakeFO_2024,5/16/2024 3:49:19 PM,Full Sample Visit,CA-ELFO-TW-22095_2024-05-16,0a5bfd1b-44fc-42f6-ad74-9a69a50a7f3a,lmartin33,5/16/2024 3:49:25 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:05 PM,-120.516560000386,40.6070250001768
219,CA-ELFO-TW-24075,CA_ApplegateEagleLakeFO_2024,5/17/2024 6:15:29 PM,Full Sample Visit,CA-ELFO-TW-24075_2024-05-17,9eb6043c-c1f6-4b80-8dae-ac81f0806357,lmartin33,5/17/2024 6:15:33 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:08 PM,-120.427630784761,40.6492937779481
220,CA-ELFO-TW-22093,CA_ApplegateEagleLakeFO_2024,5/18/2024 5:34:40 PM,Full Sample Visit,CA-ELFO-TW-22093_2024-05-18,4073f268-b77d-4633-9fce-e6cb2c3809f9,lmartin33,5/18/2024 5:34:49 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:10 PM,-120.451453300307,40.6790766700012
221,CA-ELFO-TW-24079,CA_ApplegateEagleLakeFO_2024,5/19/2024 7:19:28 PM,Full Sample Visit,CA-ELFO-TW-24079_2024-05-19,b317ec59-312f-4f2b-b6e8-5dca6bef04b3,lmartin33,5/19/2024 7:19:50 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:11 PM,-120.144043699741,40.7280299998085
222,CA-ELFO-TW-21122,CA_ApplegateEagleLakeFO_2024,5/20/2024 4:54:20 PM,Full Sample Visit,CA-ELFO-TW-21122_2024-05-20,f81b9efa-20ae-4254-933b-3ed98aab6d3a,lmartin33,5/20/2024 4:54:24 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:13 PM,-120.12544900006,40.6865090001503
223,AZ-TUCFO-TW-24018,AZ_TucsonFO_2024,5/22/2024 4:59:05 PM,Full Sample Visit,AZ-TUCFO-TW-24018_2024-05-22,194d16ed-8741-44ca-9bf8-79423538cfa8,aperetz@blm.gov_BLM_EGIS,5/22/2024 4:59:10 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:15 PM,-110.562350999756,31.8760010001669
224,AZ-TUCFO-TW-24017,AZ_TucsonFO_2024,5/22/2024 7:20:53 PM,Full Sample Visit,AZ-TUCFO-TW-24017_2024-05-22,37f0d4a5-3635-416b-9feb-5bd8450c1560,aperetz@blm.gov_BLM_EGIS,5/22/2024 7:20:58 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:17 PM,-110.563257000127,31.8744530001879
225,AZ-TUCFO-TW-24016,AZ_TucsonFO_2024,5/22/2024 8:07:29 PM,Full Sample Visit,AZ-TUCFO-TW-24016_2024-05-22,b17075ae-e18c-4ed2-a909-44010e33d34a,aperetz@blm.gov_BLM_EGIS,5/22/2024 8:07:32 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:19 PM,-110.564299800442,31.8730310000154
226,AZ-TUCFO-TW-24018,AZ_TucsonFO_2024,5/22/2024 4:19:39 PM,Full Sample Visit,AZ-TUCFO-TW-24018_2024-05-22,142cc253-a259-461f-94a2-c85e9844965b,aperetz@blm.gov_BLM_EGIS,5/22/2024 4:19:17 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:20 PM,-110.562350999756,31.8760010001669
227,AZ-TUCFO-TW-24017,AZ_TucsonFO_2024,5/22/2024 7:19:18 PM,Full Sample Visit,AZ-TUCFO-TW-24017_2024-05-22,cc52247d-3fbc-48b8-b806-3f85d3c308d5,aperetz@blm.gov_BLM_EGIS,5/22/2024 7:19:28 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:23 PM,-110.563257000127,31.8744530001879
228,AZ-TUCFO-TW-24018,AZ_TucsonFO_2024,5/22/2024 4:51:20 PM,Full Sample Visit,AZ-TUCFO-TW-24018_2024-05-22,78f54c76-7b0d-492c-babb-b62ae9e978ac,astingelin1,5/22/2024 4:51:52 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:25 PM,-110.562350999756,31.8760010001669
229,AZ-TUCFO-TW-24016,AZ_TucsonFO_2024,5/22/2024 8:15:04 PM,Full Sample Visit,AZ-TUCFO-TW-24016_2024-05-22,e18299a6-be8a-4daa-81c1-5d3206f5897b,astingelin1,5/22/2024 8:15:14 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:26 PM,-110.564299800442,31.8730310000154
230,AZ-TUCFO-TW-24015,AZ_TucsonFO_2024,5/15/2024 8:07:08 PM,Full Sample Visit,AZ-TUCFO-TW-24015_2024-05-15,5a65764b-6cf9-44ed-9c04-b4ca2f28aac3,tcondo@blm.gov_BLM_EGIS,5/15/2024 8:07:19 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:28 PM,-110.566257300413,31.8726949997082
231,AZ-TUCFO-TW-24017,AZ_TucsonFO_2024,5/22/2024 6:01:50 PM,Full Sample Visit,AZ-TUCFO-TW-24017_2024-05-22,0cfa3827-aa94-4705-b82a-d04f1ed73ced,tcondo@blm.gov_BLM_EGIS,5/22/2024 6:01:54 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:30 PM,-110.563257000127,31.8744530001879
232,AZ-TUCFO-TW-24016,AZ_TucsonFO_2024,5/22/2024 7:57:09 PM,Full Sample Visit,AZ-TUCFO-TW-24016_2024-05-22,9c80ca78-6862-4273-9b21-8459e18a957a,tcondo@blm.gov_BLM_EGIS,5/22/2024 7:57:35 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:31 PM,-110.564299800442,31.8730310000154
233,CA-CCAD-TW-24094,CA_CentralDO_2024,5/23/2024 9:27:01 PM,Full Sample Visit,CA-CCAD-TW-24094_2024-05-23,aa17bef5-93c2-4b97-a3ed-122a8f15bd69,prcarr@blm.gov_BLM_EGIS,5/23/2024 9:28:06 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:33 PM,-121.428629793164,38.2658764570479
237,CA-CCAD-TW-24095,CA_CentralDO_2024,5/22/2024 9:46:22 PM,Full Sample Visit,CA-CCAD-TW-24095_2024-05-22,e69339cc-4bef-45b5-ab15-6e2ffcd4748e,deniselopez@blm.gov_BLM_EGIS,5/22/2024 7:56:04 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:35 PM,-121.431733774947,38.264141377567
238,AZ-TUCFO-TW-24018,AZ_TucsonFO_2024,5/22/2024 4:02:50 PM,Full Sample Visit,AZ-TUCFO-TW-24018_2024-05-22,6d0e26c1-b97a-46d0-9cda-1e350379d0e7,crperez@blm.gov_BLM_EGIS,5/22/2024 4:03:23 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:37 PM,-110.562350999756,31.8760010001669
239,AZ-TUCFO-TW-24018,AZ_TucsonFO_2024,5/22/2024 4:00:06 PM,Full Sample Visit,AZ-TUCFO-TW-24018_2024-05-22,8b7778be-eab6-43ee-99a6-98dc6520edaa,tcondo@blm.gov_BLM_EGIS,5/22/2024 4:00:09 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:38 PM,-110.562350999756,31.8760010001669
240,AZ-TUCFO-TW-24017,AZ_TucsonFO_2024,5/22/2024 7:16:38 PM,Full Sample Visit,AZ-TUCFO-TW-24017_2024-05-22,4cc9f9d3-2626-4cc0-a391-5558183eb96d,tcondo@blm.gov_BLM_EGIS,5/22/2024 7:16:42 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:40 PM,-110.563255666129,31.8744509503942
241,NV-WND-TW-24028,NV_WinnemuccaDO_2024,5/22/2024 6:44:20 PM,Full Sample Visit,NV-WND-TW-24028_2024-05-22,2e54fdf0-cc52-44c6-b3ed-08781c9cd359,mhamptonpdx,5/22/2024 6:44:34 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:42 PM,-119.008095000202,40.9738059999056
242,NV-WND-TW-24039,NV_WinnemuccaDO_2024,5/23/2024 4:57:02 PM,Full Sample Visit,NV-WND-TW-24039_2024-05-23,d803c0a0-e673-4aa3-9e25-9212e65e7b9a,mhamptonpdx,5/23/2024 4:57:24 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:44 PM,-119.275220000398,41.0206299998982
243,NV-WND-TW-24040,NV_WinnemuccaDO_2024,5/24/2024 5:47:22 PM,Full Sample Visit,NV-WND-TW-24040_2024-05-24,bc4f026d-182b-4209-a2f5-6b3e17220c3e,mhamptonpdx,5/24/2024 5:47:30 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:46 PM,-119.217656999936,41.3525839998901
244,NV-WND-RW-24827,NV_WinnemuccaDO_2024,5/25/2024 3:08:27 PM,Full Sample Visit,NV-WND-RW-24827_2024-05-25,f9ea54eb-eb11-4f24-aae5-d071eed857c6,mhamptonpdx,5/25/2024 3:08:30 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:48 PM,-119.220207196653,41.351398949991
245,NV-WND-RW-24858,NV_WinnemuccaDO_2024,5/26/2024 3:52:48 PM,Full Sample Visit,NV-WND-RW-24858_2024-05-26,63efbf9c-010a-4a33-afa8-a31859f5abf8,mhamptonpdx,5/26/2024 3:52:54 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:50 PM,-119.375765026433,41.3766571967607
246,NV-NCD-TW-24012,NV_CarsonCityDO_2024,5/21/2024 9:22:44 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24012_2024-05-21,a00ccc3d-cb6b-4874-82c6-d50454332b92,mhamptonpdx,5/21/2024 8:26:18 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:52 PM,-118.421585202729,39.2811307802292
247,NV-WND-TW-24028,NV_WinnemuccaDO_2024,5/22/2024 6:41:28 PM,Full Sample Visit,NV-WND-TW-24028_2024-05-22,fbf0568f-6970-40be-8b97-7bb19e4f3abf,mhamptonpdx,5/22/2024 6:41:40 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:54 PM,-119.008095000202,40.9738059999056
248,NV-WND-TW-24039,NV_WinnemuccaDO_2024,5/23/2024 4:57:08 PM,Full Sample Visit,NV-WND-TW-24039_2024-05-23,2bb335f9-980d-4ace-8d14-75bbbcf4315b,mhamptonpdx,5/23/2024 4:57:29 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:57 PM,-119.275220000398,41.0206299998982
249,NV-WND-TW-24040,NV_WinnemuccaDO_2024,5/24/2024 5:45:53 PM,Full Sample Visit,NV-WND-TW-24040_2024-05-24,31faaac9-2c1f-405f-a2c0-9935525900c0,mhamptonpdx,5/24/2024 5:45:57 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:52:58 PM,-119.217637187592,41.3525744021842
250,NV-WND-RW-24827,NV_WinnemuccaDO_2024,5/25/2024 3:08:34 PM,Full Sample Visit,NV-WND-RW-24827_2024-05-25,3b7c5a86-a4d0-4be1-b4d4-ed69e0ddb94b,mhamptonpdx,5/25/2024 3:08:43 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:01 PM,-119.220207196653,41.351398949991
251,NV-WND-RW-24858,NV_WinnemuccaDO_2024,5/26/2024 3:52:43 PM,Full Sample Visit,NV-WND-RW-24858_2024-05-26,dcae3d01-e2f0-4395-ad8a-7f095bc48c73,mhamptonpdx,5/26/2024 3:52:54 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:03 PM,-119.375765026433,41.3766571967607
252,NV-NCD-TW-24012,NV_CarsonCityDO_2024,5/21/2024 8:07:27 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24012_2024-05-21,21825bb5-c6ba-4962-91d3-b1a9ee25085d,lyndollsenf,5/21/2024 8:07:35 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:05 PM,-118.421589999732,39.2811300000579
253,NV-NCD-TW-24011,NV_CarsonCityDO_2024,5/22/2024 2:27:25 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24011_2024-05-22,8eeef5c3-ab8e-4eed-9b65-194449a82840,lyndollsenf,5/22/2024 2:27:36 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:07 PM,-118.420960000444,39.2810899999269
254,NV-NCD-TW-24025,NV_CarsonCityDO_2024,5/23/2024 3:09:22 PM,Full Sample Visit,NV-NCD-TW-24025_2024-05-23,67bbaf92-5b96-4e09-88ae-09c95449f7be,lyndollsenf,5/23/2024 3:09:29 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:09 PM,-118.195432860308,38.9206199152558
255,NV-NCD-TW-24024,NV_CarsonCityDO_2024,5/24/2024 3:48:26 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24024_2024-05-24,b8d71268-dc76-4f80-82b0-b1a5e03f918d,lyndollsenf,5/24/2024 3:48:44 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:11 PM,-118.385129000216,38.2106289998747
256,NV-NCD-TW-24001,NV_CarsonCityDO_2024,5/25/2024 3:07:37 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24001_2024-05-25,df1a4a19-56ea-4f1a-83e8-814a0a327a32,lyndollsenf,5/25/2024 3:07:44 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:13 PM,-117.892529999724,38.3207099997795
257,NV-NCD-RW-24501,NV_CarsonCityDO_2024,5/26/2024 4:27:49 PM,Small Site Pilot Sample Visit,NV-NCD-RW-24501_2024-05-26,91aeafa7-718a-4853-9cac-2d1f5bbd1eb8,lyndollsenf,5/26/2024 4:27:57 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:15 PM,-118.190530866092,38.7209094101689
258,NV-NCD-TW-24012,NV_CarsonCityDO_2024,5/21/2024 8:06:31 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24012_2024-05-21,6e9aa202-0926-475d-a486-1cf6b51d45e4,shahanesimonyan4,5/21/2024 8:06:11 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:17 PM,-118.421589999732,39.2811300000579
259,NV-NCD-TW-24011,NV_CarsonCityDO_2024,5/22/2024 2:28:12 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24011_2024-05-22,09785440-89cf-41d2-b0ea-7a4027cb9773,shahanesimonyan4,5/22/2024 2:28:34 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:18 PM,-118.420960000444,39.2810899999269
260,NV-NCD-TW-24025,NV_CarsonCityDO_2024,5/23/2024 3:08:19 PM,Full Sample Visit,NV-NCD-TW-24025_2024-05-23,258e7703-b2a7-447d-aa54-cefabc3ae85a,shahanesimonyan4,5/23/2024 3:08:33 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:20 PM,-118.195432860308,38.9206199152558
261,NV-NCD-TW-24024,NV_CarsonCityDO_2024,5/24/2024 3:47:28 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24024_2024-05-24,8b7b5145-1d0c-4c19-a18c-771a15d5eea6,shahanesimonyan4,5/24/2024 3:47:37 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:22 PM,-118.385129000216,38.2106289998747
262,NV-NCD-TW-24001,NV_CarsonCityDO_2024,5/25/2024 3:06:33 PM,Small Site Pilot Sample Visit,NV-NCD-TW-24001_2024-05-25,e8708ef3-b358-43ac-adff-0119b798dbae,shahanesimonyan4,5/25/2024 3:08:06 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:23 PM,-117.892529999724,38.3207099997795
263,NV-NCD-RW-24501,NV_CarsonCityDO_2024,5/26/2024 4:28:30 PM,Small Site Pilot Sample Visit,NV-NCD-RW-24501_2024-05-26,d80272d6-293c-4420-8201-10a5fcc8b558,shahanesimonyan4,5/26/2024 4:28:40 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:26 PM,-118.190530866092,38.7209094101689
264,WY-CAFO-TW-24032,WY_CasperFO_2024,5/28/2024 9:00:00 PM,Calibration Visit,WY-CAFO-TW-24032_2024-05-28,ebc542b3-90a5-47f3-aea1-a2c5ed005464,elyssa.winterton,5/28/2024 3:10:38 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:27 PM,-106.546920875034,42.5833910382025
265,CO-RGFO-RW-22573,CO_RockyMtnDO_2024,5/28/2024 2:46:40 PM,Calibration Visit,CO-RGFO-RW-22573_2024-05-28,7943b23e-7912-441b-8353-7b9a6d8db7af,gracekowalski1,5/28/2024 2:46:43 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:29 PM,-106.201034800407,39.283657370145
266,CO-RGFO-RW-22573,CO_RockyMtnDO_2024,5/28/2024 5:02:08 PM,Calibration Visit,CO-RGFO-RW-22573_2024-05-28,8e4b0c21-5917-4fb1-af39-0084586fa57e,ajrios11,5/28/2024 5:02:18 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:31 PM,-106.201034800407,39.283657370145
267,AZ-TUCFO-TW-24018,AZ_TucsonFO_2024,5/22/2024 3:58:26 PM,Full Sample Visit,AZ-TUCFO-TW-24018_2024-05-22,4d5bc08f-2251-48b3-ab22-cefc870cc327,ndefino@blm.gov_BLM_EGIS,5/22/2024 3:58:30 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:32 PM,-110.562350999756,31.8760010001669
268,AZ-TUCFO-TW-24017,AZ_TucsonFO_2024,5/22/2024 6:01:18 PM,Full Sample Visit,AZ-TUCFO-TW-24017_2024-05-22,e14f52c2-112e-4b0e-aee9-e4f4d12f1c0f,ndefino@blm.gov_BLM_EGIS,5/22/2024 6:01:22 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:34 PM,-110.563257000127,31.8744530001879
269,AZ-TUCFO-TW-24016,AZ_TucsonFO_2024,5/22/2024 7:56:28 PM,Full Sample Visit,AZ-TUCFO-TW-24016_2024-05-22,658db361-aa31-41cc-9569-37c0084f5881,ndefino@blm.gov_BLM_EGIS,5/22/2024 7:56:32 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:36 PM,-110.564299800442,31.8730310000154
270,CO-KRFO-TW-24005,CO_NorthwestDO_2024,5/28/2024 2:49:56 PM,Calibration Visit,CO-KRFO-TW-24005_2024-05-28,630c9b87-6f53-4033-bf55-2efdadc0bd42,samcdonnell88,5/28/2024 2:52:17 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:38 PM,-106.188690562302,40.8640401119846
271,CO-KRFO-TW-24005,CO_NorthwestDO_2024,5/28/2024 2:49:53 PM,Calibration Visit,CO-KRFO-TW-24005_2024-05-28,29dd3a02-10b3-4e0f-afcd-cb7b28bbb319,madeline.catterson,5/28/2024 2:52:16 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:40 PM,-106.188697593416,40.8640327721384
272,UT-WDD-TW-24043,UT_WestDesertDO_2024,5/24/2024 12:10:00 AM,Full Sample Visit,UT-WDD-TW-24043_2024-05-23,d0d86272-a632-418b-91f0-1c122ca64980,turnertaylor99,5/24/2024 3:18:34 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:42 PM,-113.485313134969,39.4220587561781
273,UT-WDD-TW-012,UT_WestDesertDO_2024,5/22/2024 4:02:38 PM,Full Sample Visit,UT-WDD-TW-012_2024-05-22,092ce36c-0725-4198-bd3e-24e34868a30c,turnertaylor99,5/22/2024 4:02:45 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:44 PM,-113.890315099843,39.4150273198665
274,UT-WDD-TW-012,UT_WestDesertDO_2024,5/22/2024 3:55:13 PM,Full Sample Visit,UT-WDD-TW-012_2024-05-22,30c05409-5aea-4e4c-a978-bb68c7e87606,turnertaylor99,5/22/2024 3:55:21 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:46 PM,-113.890315099843,39.4150273198665
275,UT-WDD-TW-24043,UT_WestDesertDO_2024,5/23/2024 10:13:38 PM,Full Sample Visit,UT-WDD-TW-24043_2024-05-23,7307acf1-9a24-45e6-bd77-7e08f9b9baf8,turnertaylor99,5/23/2024 10:13:44 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:49 PM,-113.485313134969,39.4220587561781
276,WY-RAFO-TW-24080,WY_RawlinsFO_2024,5/29/2024 7:10:56 PM,Full Sample Visit,WY-RAFO-TW-24080_2024-05-29,c04b2a4c-73d8-44d5-a3d2-9b5e37cf72d5,ajrios11,5/29/2024 7:11:05 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:51 PM,-107.413267000162,41.3309299996653
277,WY-RAFO-TW-24080,WY_RawlinsFO_2024,5/29/2024 7:11:07 PM,Full Sample Visit,WY-RAFO-TW-24080_2024-05-29,51223a89-c9cf-477d-ba1b-36c4cbfd448e,gracekowalski1,5/29/2024 7:11:12 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:54 PM,-107.413267000162,41.3309299996653
278,AZ-TUCFO-TW-24019,AZ_TucsonFO_2024,5/30/2024 3:49:40 PM,Full Sample Visit,AZ-TUCFO-TW-24019_2024-05-30,49e242c9-4e65-476e-bc90-1d4e6454b34c,ndefino@blm.gov_BLM_EGIS,5/30/2024 3:33:56 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:55 PM,-110.561982899797,31.8778319997246
279,AZ-TUCFO-TW-24020,AZ_TucsonFO_2024,5/30/2024 5:27:06 PM,Full Sample Visit,AZ-TUCFO-TW-24020_2024-05-30,35a6b672-1d21-4dcf-90d4-753e421528cd,ndefino@blm.gov_BLM_EGIS,5/30/2024 5:27:08 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:57 PM,-110.560865600399,31.8793429997918
280,AZ-TUCFO-TW-24021,AZ_TucsonFO_2024,5/30/2024 7:34:18 PM,Full Sample Visit,AZ-TUCFO-TW-24021_2024-05-30,907d1eb3-6e99-41ee-bde4-95c69f080258,ndefino@blm.gov_BLM_EGIS,5/30/2024 7:34:26 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:53:59 PM,-110.561514099593,31.8808250000063
281,AZ-TUCFO-TW-24022,AZ_TucsonFO_2024,5/30/2024 9:01:53 PM,Full Sample Visit,AZ-TUCFO-TW-24022_2024-05-30,17afaef7-c89d-4915-9eed-7daa811971dc,ndefino@blm.gov_BLM_EGIS,5/30/2024 9:01:57 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:01 PM,-110.559524100371,31.8812969999769
282,AZ-TUCFO-TW-24020,AZ_TucsonFO_2024,5/30/2024 5:34:29 PM,Full Sample Visit,AZ-TUCFO-TW-24020_2024-05-30,66d37df5-8966-42fb-9b2f-d6bf68c080fe,astingelin1,5/30/2024 5:34:44 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:03 PM,-110.560865600399,31.8793429997918
283,AZ-TUCFO-TW-24019,AZ_TucsonFO_2024,5/30/2024 5:03:03 PM,Full Sample Visit,AZ-TUCFO-TW-24019_2024-05-30,a417aefb-ef72-4857-bdae-ad53e48b334a,aperetz@blm.gov_BLM_EGIS,5/30/2024 5:03:06 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:05 PM,-110.561982899797,31.8778319997246
284,AZ-TUCFO-TW-24020,AZ_TucsonFO_2024,5/30/2024 5:36:12 PM,Full Sample Visit,AZ-TUCFO-TW-24020_2024-05-30,74d197ca-cd58-46e7-89cc-1991f9606c56,aperetz@blm.gov_BLM_EGIS,5/30/2024 5:36:15 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:07 PM,-110.560865600399,31.8793429997918
285,AZ-TUCFO-TW-24022,AZ_TucsonFO_2024,5/30/2024 9:35:58 PM,Full Sample Visit,AZ-TUCFO-TW-24022_2024-05-30,140ea9f4-0f4e-41c4-b5b3-f97f6fc075c9,aperetz@blm.gov_BLM_EGIS,5/30/2024 9:36:06 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:09 PM,-110.559524100371,31.8812969999769
286,AZ-TUCFO-TW-24019,AZ_TucsonFO_2024,5/30/2024 3:33:14 PM,Full Sample Visit,AZ-TUCFO-TW-24019_2024-05-30,05111997-75ec-4c44-acf6-78ad347b1da0,tcondo@blm.gov_BLM_EGIS,5/30/2024 3:33:18 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:11 PM,-110.561982899797,31.8778319997246
287,AZ-TUCFO-TW-24020,AZ_TucsonFO_2024,5/30/2024 5:27:02 PM,Full Sample Visit,AZ-TUCFO-TW-24020_2024-05-30,0ef5c652-09aa-4d08-b498-2a7bba96e186,tcondo@blm.gov_BLM_EGIS,5/30/2024 5:27:12 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:13 PM,-110.560865600399,31.8793429997918
288,AZ-TUCFO-TW-24021,AZ_TucsonFO_2024,5/30/2024 7:27:39 PM,Full Sample Visit,AZ-TUCFO-TW-24021_2024-05-30,57e9c069-06b1-457e-b748-db0d0f1d5c6e,tcondo@blm.gov_BLM_EGIS,5/30/2024 7:27:43 PM,kmartin@blm.gov_BLM_EGIS,10/2/2024 6:54:15 PM,-110.561514099593,31.8808250000063
