objectid,GlobalID,AdminState,Plot ID,Plot Key,ProjectName,Office,Crew Number,Date,DateFormat,Observer,Recorder,Person checking values,Person recording values,Comments,Plot Layout,PlotLayoutNotes,Plot Shape,Plot Area,Plot Radius,Plot Length,Plot Width,Are Plant Species Present?,Search Time,All Unknown Codes used,All Species in the form,CreationDate,Creator,EditDate,Editor,AllSpeciesCheck,x,y
88,70e1da93-a74c-4ea5-a1a9-f9505b20e056,ID,Black-NR-003,ID_BFO_LUP_2022_Black-NR-003_V1,ID_BFO_LUP_2022,IDB02,02,5/23/2024 18:00,2024-05-23,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,20,,"BRTE, ATCO, DEIN5, ELEL5, POSE, ARFR4, SPCO, ARAR8, DEPI, ACHY, OPPO, PESI, ERPU2, PSSP6",05/27/2024 17:53:00.806,mcarlsberg2,05/30/2024 19:22:55.342,nredecker2,"BRTE, ATCO, DEIN5, ELEL5, POSE, ARFR4, SPCO, ARAR8, DEPI, ACHY, OPPO, PESI, ERPU2, PSSP6",-116.0147896,42.65448546
89,1f98f1c0-13b3-4d5d-aea2-bb60ddad5aed,ID,FRFO2024-PLNS-077,ID_FRFO_LUP_2024_FRFO2024-PLNS-077_V1,ID_FRFO_LUP_2024,IDB01,02,5/24/2024 18:00,2024-05-24,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,BRTE dominated plot.,Spoke,,circle,2827.43,30,,,Yes,20,AF02001,"BRTE, DEIN5, AGCR, SIAL2, POSE, ARTRV, ELEL5, CETE5, TRDU, GARA, AFXXXX",05/27/2024 17:53:02.303,mcarlsberg2,05/30/2024 19:22:56.461,nredecker2,"BRTE, DEIN5, AGCR, SIAL2, POSE, ARTRV, ELEL5, CETE5, TRDU, GARA, AFXXXX",-115.8458839,43.20379302
90,bea7b7f8-97e3-48b9-a442-daa2e0bfbb29,ID,FRFO2024-PLNS-079,ID_FRFO_LUP_2024_FRFO2024-PLNS-079_V1,ID_FRFO_LUP_2024,IDB01,02,5/24/2024 18:00,2024-05-24,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,20,"PF02009, SH02002","SIAL2, ELEL5, POSE, DEIN5, CETE5, ARTRT, LASE, BRTE, LEPE2, DEPI, PFXXXX, SHXXXX, LAOC3",05/27/2024 17:53:04.015,mcarlsberg2,05/30/2024 19:22:57.490,nredecker2,"SIAL2, ELEL5, POSE, DEIN5, CETE5, ARTRT, LASE, BRTE, LEPE2, DEPI, PFXXXX, SHXXXX, LAOC3",-116.2073679,43.21213745
91,f58c240b-163a-4781-ae40-cc5527ede551,ID,SD-2022-NR-005,ID_OFO_LUP_2022_SD-2022-NR-005_V1,ID_OFO_LUP_2022,IDB03,02,5/25/2024 18:00,2024-05-25,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,30,AF02003,"ARTRT, PSSP6, BRTE, COUM, PUTR2, GARA, AMME, PHHA, LAOC3, ERCI6, PHLO2, ERNA10, ELEL5, POSE, ACNE9, CHVI8, PRVI, LUPO2, ASFI, SCAN3, RIAU, LECI4, POBU, BASA3, TRDU, ACMI2, EROV, TRGR7, DEIN5, PLMA4, AFXXXX, LIRU4",05/27/2024 17:53:05.569,mcarlsberg2,05/30/2024 19:22:58.561,nredecker2,"ARTRT, PSSP6, BRTE, COUM, PUTR2, GARA, AMME, PHHA, LAOC3, ERCI6, PHLO2, ERNA10, ELEL5, POSE, ACNE9, CHVI8, PRVI, LUPO2, ASFI, SCAN3, RIAU, LECI4, POBU, BASA3, TRDU, ACMI2, EROV, TRGR7, DEIN5, PLMA4, AFXXXX, LIRU4",-116.7855079,43.19567714
92,2c245c4d-43f6-4d05-b7a0-0a6f59368820,ID,BasinCM-2022-009,ID_OFO_LUP_2022_BasinCM-2022-009_V1,ID_OFO_LUP_2022,IDB03,02,5/25/2024 18:00,2024-05-25,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,25,"PF02010, SH02004","AMME, PUTR2, BRTE, ERCI6, GARA, ARTRT, LASE, DEIN5, GAAP2, ERRE4, LECI4, PSSP6, POBU, POSE, ELEL5, ALAC4, PHLO2, PFXXXX, SHXXXX, TRDU",05/27/2024 17:53:07.116,mcarlsberg2,05/30/2024 19:22:59.795,nredecker2,"AMME, PUTR2, BRTE, ERCI6, GARA, ARTRT, LASE, DEIN5, GAAP2, ERRE4, LECI4, PSSP6, POBU, POSE, ELEL5, ALAC4, PHLO2, PFXXXX, SHXXXX, TRDU",-116.7937749,43.22227755
93,eec8ab73-de7b-4853-9758-efbd7a459c79,ID,FRFO2024-PLNS-066,ID_FRFO_LUP_2024_FRFO2024-PLNS-066_V1,ID_FRFO_LUP_2024,IDB01,03,5/22/2024 18:00,2024-05-22,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,45,"AF03005, AF03006","BRTE, POSE, POBU, TACA8, LECI4, ERCI6, SIAL2, HEAN3, AMLY, CETE5, SPMU2, ACMI2, AFXXXX, AFXXXX, PSSP6, CICA6, EPBR3",05/28/2024 20:02:54.205,spencercshaw12,05/30/2024 19:23:01.152,nredecker2,"BRTE, POSE, POBU, TACA8, LECI4, ERCI6, SIAL2, HEAN3, AMLY, CETE5, SPMU2, ACMI2, AFXXXX, AFXXXX, PSSP6, CICA6, EPBR3",-116.5731412,43.782608
94,bb38425a-afa4-4bd0-8fcb-0bc37edc6695,ID,FRFO2024-NR-PLNS-083,ID_FRFO_LUP_2024_FRFO2024-NR-PLNS-083_V1,ID_FRFO_LUP_2024,IDB01,03,5/23/2024 18:00,2024-05-23,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,30,,"BRTE, POSE, ERCI6, HECO26, SIAL2, LECI4, VUMY, HEAN3, MACA2, EPBR3, AMLY, SPMU2, SATR12, DRVE2, CETE5, PSSP6",05/28/2024 20:02:56.025,spencercshaw12,05/30/2024 19:23:02.185,nredecker2,"BRTE, POSE, ERCI6, HECO26, SIAL2, LECI4, VUMY, HEAN3, MACA2, EPBR3, AMLY, SPMU2, SATR12, DRVE2, CETE5, PSSP6",-116.6698232,43.85753522
95,355532cb-82c7-4893-85af-34440a7255ae,ID,FRFO2024-NR-FTHL-002,ID_FRFO_LUP_2024_FRFO2024-NR-FTHL-002_V1,ID_FRFO_LUP_2024,IDB01,03,5/25/2024 18:00,2024-05-25,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,60,"PF03035, PF03036, AF03010, SH03002","BRTE, POSE, POBU, TRMA3, LOGR, ELEL5, BAHO, SIAL2, LONU2, BASA3, LASE, TRDU, LEPE2, DRVE2, ARTRW8, PEDE4, ALAC4, ERHE2, LOAM, PSSP6, ACMI2, HEMA80, PHHE2, EPBR3, CRAC2, ROWO, PFXXXX, PFXXXX, AFXXXX, SHXXXX, MIGR",05/28/2024 20:02:57.885,spencercshaw12,05/30/2024 19:23:03.161,nredecker2,"BRTE, POSE, POBU, TRMA3, LOGR, ELEL5, BAHO, SIAL2, LONU2, BASA3, LASE, TRDU, LEPE2, DRVE2, ARTRW8, PEDE4, ALAC4, ERHE2, LOAM, PSSP6, ACMI2, HEMA80, PHHE2, EPBR3, CRAC2, ROWO, PFXXXX, PFXXXX, AFXXXX, SHXXXX, MIGR",-116.8404846,44.44456092
142,0b7d2742-243a-4ec6-bc72-1d7a3e70bf8e,ID,06236-08-U105,ID_SAFO_GRSG_2024_06236-08-U105_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,5/21/2024 18:00,2024-05-21,Hannah Alverson,Hannah Alverson,,,Still early in the season many forbs are not in full bloom yet,Spoke,,circle,2827.43,30,,,Yes,23,"PG30001, PG30002, PF30002, PF30003, PF30004",,06/04/2024 23:11:02.438,nredecker2,06/04/2024 23:11:02.438,nredecker2,,-113.5441122,44.86399724
143,c81362be-8ce2-4998-8797-35986ba0f055,ID,06205-03-U001,ID_SAFO_GRSG_2024_06205-03-U001_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,6/6/2024 18:00,2024-06-06,Hannah Branz,Hannah Branz,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,06/07/2024 15:59:17.116,smorelli@blm.gov_BLM_EGIS,06/07/2024 15:59:17.116,smorelli@blm.gov_BLM_EGIS,,-113.7037312,44.86039378
144,0035242f-341a-4281-bfd2-e5cd8b76d8a0,ID,06237-01-U103,ID_SAFO_GRSG_2024_06237-01-U103_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,5/14/2024 18:00,2024-05-14,Vicki Van Sickle,Sara Morelli,,,,Spoke,,circle,2827.43,30,,,Yes,15,,"ARTRW8, POSE, ELEL5, HECOC8, PSSP6, PHHO, ERPU2, ASPU9, ARHO2, PESI, BAAM4, PEHU, ACHY, KRLA2, CHVI8, ARFR4, OPPO, ERCO4, CRCE",06/10/2024 15:46:38.995,vvansickle@blm.gov_BLM_EGIS,06/10/2024 15:46:38.995,vvansickle@blm.gov_BLM_EGIS,,-113.5539834,44.81453523
145,f83bdb03-3619-48a6-9442-9a9037a3b566,ID,06236-02-U103,ID_SAFO_GRSG_2024_06236-02-U103_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,5/14/2024 18:00,2024-05-14,Reina Watkins,Sara Morelli,,,,Spoke,,circle,2827.43,30,,,Yes,16,,"ARTRW8, POSE, PSSP6, PHHO, HECO26, EROV, PESI, ERCO4, ERMI4, IOAL, PHLO2, ERNA10, CHVI8, ANDI2, LERE7, ASPU9, SELA, STAC, CAAN7, ORFA, CRCE, OPPO, ERPU2, KRLA2",06/10/2024 15:46:40.792,vvansickle@blm.gov_BLM_EGIS,06/10/2024 15:46:40.792,vvansickle@blm.gov_BLM_EGIS,,-113.550527,44.82488863
146,feae6338-55f0-480d-be36-9aa4e7f9356a,ID,06239-01-U102,ID_SAFO_GRSG_2024_06239-01-U102_V2,ID_SalmonFO_Fuels_2024,IDI04,30,5/16/2024 18:00,2024-05-16,Vicki Van Sickle,Vicki Van Sickle,,,,Spoke,,circle,2827.43,30,,,Yes,30,,"HECO26, ARFR4, POSE, ARTRW8, OPPO, PHHO, ERPU2, PSSP6, CADU6, SPAR2, KRLA2, PEAR2, CHVI8, PESI, ARHO2, ERLI, ACHY, ELEL5, CYAC, PEHU",06/10/2024 15:46:42.893,vvansickle@blm.gov_BLM_EGIS,06/10/2024 15:46:42.893,vvansickle@blm.gov_BLM_EGIS,,-113.4829957,44.7703392
147,df92a76c-055d-4fb9-ae8a-539c0e9f333a,ID,06205-06-U001,ID_SAFO_GRSG_2024_06205-06-U001_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,5/30/2024 18:00,2024-05-30,Pat Baker,Vicki Van Sickle,,,,Spoke,,circle,2827.43,30,,,Yes,21,PF30010,"ARTRV, PSSP6, POSE, LUWY, CHVI8, COPA3, BRTE, ARTR4, PFXXXX, TAOF, PEHU, IOAL, CYAC, POGL9, PHLO2, ACMI2, NOTR2, ALTE, ASMI9, ARKI, ARHO2, ERPU2, CESTM, DAUN, PEAR2, ASAT2, STAC, CAAN7, LOFO, ANMI3, ERCO4, ASPU9, ANDI2, CRMO4, SEIN2, GETR",06/10/2024 15:46:45.717,vvansickle@blm.gov_BLM_EGIS,06/10/2024 15:46:45.717,vvansickle@blm.gov_BLM_EGIS,,-113.7792012,44.84184818
148,2f132949-8819-421b-b550-fe13a160205f,ID,06236-04-U103,ID_SAFO_GRSG_2024_06236-04-U103_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,6/6/2024 18:00,2024-06-06,Vicki Van Sickle,Vicki Van Sickle,,,,Spoke,,circle,2827.43,30,,,Yes,23,"PF30005, PF30006","PFXXXX, SEIN2, DAUN, POSE, BAHO, ARTR4, ANMI3, ASMI9, PSSP6, CAEU, AGGLD, PFXXXX, KOMA, TRDU, ARHO2, FEID, MIGR, HEUN, CAFL7, PHLO2, ARSO2, COLI2, LUWY, ACMI2, MYST2, DEBI, DRNE, DRVE2, CIUN, CHVI8, CYAC, POGR9, ERUM",06/10/2024 15:46:48.098,vvansickle@blm.gov_BLM_EGIS,06/10/2024 15:46:48.098,vvansickle@blm.gov_BLM_EGIS,,-113.5507431,44.89380955
149,3d375b0f-9109-4562-9c56-3a14f2721d67,ID,04S04E27,ID_FRFO_TRGT_Trend_2024_04S04E27_V2,ID_FRFO_AIMTrend_2024,IDB01,16,6/6/2024 18:00,2024-06-06,Karsyn Preble,Adam Sigwing,,,,Spoke,,circle,2827.43,30,,,Yes,5,,,06/10/2024 16:27:09.525,jsigwing@blm.gov_BLM_EGIS,06/10/2024 16:27:09.525,jsigwing@blm.gov_BLM_EGIS,,-115.9635606,43.05409844
150,6ab13b80-23e2-45ad-8061-6d960f1964fd,ID,NAT-NR-027,ID_BUFO_LUP_2021_NAT-NR-027_V1,ID_BUFO_LUP_2021,IDT02,03,6/5/2024 18:00,2024-06-05,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,60,"PF03040, PF03041, SH03003",,06/10/2024 17:40:39.999,spencercshaw12,06/10/2024 17:40:39.999,spencercshaw12,"CHVI8, POSE, TRDU, HECO26, CRAC2, LONU2, PHLO2, BAHO, MIGR, ELEL5, ACMI2, BRTE, EPBR3, CHTE2, ZIVE, LECI4, ALAC4, DENU2, ARTRT, LIPU11, LOAM, NOTR2, LUAR6, EROV, SEIN2, OPPO, TAOF, LOFO, LILE3, LIRU4, CISU, IOAL, ARHO2, ASBE3, LUCA, COLI2, PFXXXX, PFXXXX, SHXXXX",-114.4495227,42.03280116
151,79579e58-c0f2-4883-bf22-f7d324a58e34,ID,SEED-112,ID_BUFO_LUP_2021_SEED-112_V2,ID_BUFO_LUP_2021,IDT02,03,6/5/2024 18:00,2024-06-05,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,20,,,06/10/2024 17:40:41.865,spencercshaw12,06/10/2024 17:40:41.865,spencercshaw12,"AGCR, CHVI8, POSE, TRDU, ARTRW8, PHHO, TAOF, PHLO2, LOFO, LIPU11, CRAC2, ASPU9, OPPO, LUAR6, ERMI4, COUM, ANUM, ASFI, ALAC4, ARHO2, BRTE, HECO26",-114.5506178,42.01767123
152,eced8f3a-2988-4197-9446-4a2924e5bf0e,ID,SEED-108,ID_BUFO_LUP_2021_SEED-108_V2,ID_BUFO_LUP_2021,IDT02,03,6/6/2024 18:00,2024-06-06,Roger Morin,Roger Morin,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,06/10/2024 17:40:43.589,spencercshaw12,06/10/2024 17:40:43.589,spencercshaw12,"ASPU9, DRVE2, MIGR, NOTR2, POSE, CHVI8, ARTRW8, TRDU, LEPE2, ASFI, LUAR6, PHLO2",-114.5668239,42.03419522
153,9806ab07-2f9e-48eb-8191-6acd535921d3,ID,NAT-044,ID_BUFO_LUP_2021_NAT-044_V1,ID_BUFO_LUP_2021,IDT02,03,6/6/2024 18:00,2024-06-06,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,20,,,06/10/2024 17:40:45.437,spencercshaw12,06/10/2024 17:40:45.437,spencercshaw12,"ACNE9, BRTE, OPPO, PUTR2, FEID, POSE, ERNA10, SIAL2, PSSP6, ASFI, ELEL5, LIRU4, LAOCO, CISU, ARTRT, PHHA, LEPE2, CRAC2, AMUT, SYOR2, ERMI4, DRVE2",-114.6271755,42.0619873
154,2c349e4e-eec7-4268-9b01-2b783c6d468e,ID,NAT-NR-030,ID_BUFO_LUP_2021_NAT-NR-030_V1,ID_BUFO_LUP_2021,IDT02,03,6/7/2024 18:00,2024-06-07,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,06/10/2024 17:40:47.294,spencercshaw12,06/10/2024 17:40:47.294,spencercshaw12,"ARTRW8, ELEL5, ALDE, PHLO2, POSE, BRTE, LEPE2, LAOCO, SIAL2, PHHO, LIPU11, CRAC2, ARHO2, PSSP6, ASPU9, OPPO, IOAL, DENU2, CETE5, TRDU",-114.6676979,42.02956306
155,ebc2a32f-317b-49dd-9168-a374f7984ee5,ID,LSWD2023-005,ID_JFO_LUP_2023_LSWD2023-005_V2,ID_JFO_LUP_2023,IDT01,03,6/7/2024 18:00,2024-06-07,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,PF03042,,06/10/2024 17:40:49.019,spencercshaw12,06/10/2024 17:40:49.019,spencercshaw12,"ARARA, BRTE, POSE, PSSP6, ZIVE, ELEL5, OPPO, ERSP7, PHHO, CHVI8, PHLO2, IOAL, HECOC8, PFXXXX, GRSP, EROV",-114.7599193,42.02448466
156,12e94e6b-4659-4e6f-ab67-9cf260ef88de,ID,NAT-NR-028,ID_BUFO_LUP_2021_NAT-NR-028_V1,ID_BUFO_LUP_2021,IDT02,03,6/8/2024 18:00,2024-06-08,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,20,,,06/10/2024 17:40:50.890,spencercshaw12,06/10/2024 17:40:50.890,spencercshaw12,"ARTRW8, POSE, BRTE, SIAL2, ELEL5, CETE5, PHHO, LASE, LEPE2, TRDU, ALDE, OPPO, AGCR, DEPI, PHLO2, ASPU9, EROV",-114.6990771,42.25798375
157,63f4afe4-2a34-482f-8c2c-3b2045b35f17,ID,SEED-109,ID_BUFO_LUP_2021_SEED-109_V2,ID_BUFO_LUP_2021,IDT02,03,6/8/2024 18:00,2024-06-08,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,06/10/2024 17:40:53.392,spencercshaw12,06/10/2024 17:40:53.392,spencercshaw12,"ARTRW8, AGCR, POSE, OPPO, BRTE, CETE5, ASBE3, ELEL5, CHDO, ALDE",-114.7021821,42.31453191
158,6baf80dd-f8eb-47dd-adb8-819ed7fff233,ID,USFO2023-064,ID_USFO_LUP_2023_USFO2023-064_V2,ID_USFO_LUP_2023,IDI01,02,6/8/2024 18:00,2024-06-08,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,20,SH02005,,06/10/2024 21:19:59.297,mcarlsberg2,06/10/2024 21:19:59.297,mcarlsberg2,,-113.3379002,44.19332987
159,621ff142-3287-40b2-8a3f-04585a811338,ID,USFO2023-057,ID_USFO_LUP_2023_USFO2023-057_V1,ID_USFO_LUP_2023,IDI01,02,6/5/2024 18:00,2024-06-05,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,20,"PF02015, PF02016, PF02017",,06/10/2024 21:20:00.111,mcarlsberg2,06/10/2024 21:20:00.111,mcarlsberg2,,-112.7607383,43.2796751
160,a63f9af2-353a-4e48-ba03-b1e4e6300cf5,ID,USFO2023-049,ID_USFO_LUP_2023_USFO2023-049_V2,ID_USFO_LUP_2023,IDI01,02,6/5/2024 18:00,2024-06-05,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,25,PF02017,,06/10/2024 21:20:01.827,mcarlsberg2,06/10/2024 21:20:01.827,mcarlsberg2,,-113.0175008,43.22227501
161,9be55482-7442-4da4-bb2a-ea3c5ff09b6d,ID,USFO2023-053,ID_USFO_LUP_2023_USFO2023-053_V2,ID_USFO_LUP_2023,IDI01,02,6/6/2024 18:00,2024-06-06,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,20,"PF02017, PF02018",,06/10/2024 21:20:03.417,mcarlsberg2,06/10/2024 21:20:03.417,mcarlsberg2,,-113.1497981,43.06332131
162,e983c312-66e8-4014-b7bb-388c750a196a,ID,USFO2023-054,ID_USFO_LUP_2023_USFO2023-054_V2,ID_USFO_LUP_2023,IDI01,02,6/6/2024 18:00,2024-06-06,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,20,"PF02019, PF02020",,06/10/2024 21:20:05.273,mcarlsberg2,06/10/2024 21:20:05.273,mcarlsberg2,,-113.1207842,43.38596987
163,de15b339-aea6-4c96-bb6b-3a6df1118624,ID,USFO2023-050,ID_USFO_LUP_2023_USFO2023-050_V2,ID_USFO_LUP_2023,IDI01,02,6/7/2024 18:00,2024-06-07,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,30,"PF02021, PF02022",,06/10/2024 21:20:07.355,mcarlsberg2,06/10/2024 21:20:07.355,mcarlsberg2,,-113.1575137,43.6752979
164,2e656d18-a9f1-4544-9b72-b1806292efa0,ID,USFO2023-063,ID_USFO_LUP_2023_USFO2023-063_V2,ID_USFO_LUP_2023,IDI01,02,6/7/2024 18:00,2024-06-07,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,Makena Carlsberg,,Spoke,,circle,2827.43,30,,,Yes,15,,,06/10/2024 21:20:08.984,mcarlsberg2,06/10/2024 21:20:08.984,mcarlsberg2,,-113.1862942,43.91435089
165,86da6c03-84e7-422c-9e80-3b5529d44c56,ID,LSWD-005,ID_SHFO_LUP_2023_LSWD-005_V2,ID_SHFO_LUP_2023,IDT03,05,6/6/2024 18:00,2024-06-06,Field Tech 2,Field Tech 2,,,,Spoke,,circle,2827.43,30,,,Yes,15,AF05003,,06/11/2024 16:42:12.913,mmwsd12,06/11/2024 16:42:12.913,mmwsd12,,-115.0140133,43.12773863
166,ace0e914-d69d-48ff-9e0d-ad9b6e14e57c,ID,LSWD-009,ID_SHFO_LUP_2023_LSWD-009_V2,ID_SHFO_LUP_2023,IDT03,05,6/8/2024 18:00,2024-06-08,Zoe Transtrum,Zoe Transtrum,,,,Spoke,,circle,2827.43,30,,,Yes,20,"SH05003, AF05015",,06/11/2024 16:42:15.164,mmwsd12,06/11/2024 16:42:15.164,mmwsd12,,-114.7446009,43.09918585
167,274b2567-5719-48b8-9364-353d38997841,ID,LSCM-005,ID_SHFO_LUP_2023_LSCM-005_V2,ID_SHFO_LUP_2023,IDT03,05,6/9/2024 18:00,2024-06-09,Zoe Transtrum,Zoe Transtrum,,,,Spoke,,circle,2827.43,30,,,Yes,20,"SH05005, PF05003, AF05016",,06/11/2024 16:42:16.960,mmwsd12,06/11/2024 16:42:16.960,mmwsd12,,-114.6561422,43.11675519
168,afe34913-7494-45a6-8484-ec914c7f082b,ID,LSWD-006,ID_SHFO_LUP_2023_LSWD-006_V2,ID_SHFO_LUP_2023,IDT03,05,6/5/2024 18:00,2024-06-05,Field Tech 1,Field Tech 1,,,,Spoke,,circle,2827.43,30,,,Yes,15,"AF05001, AF05002, SH05001, SH05002",,06/11/2024 16:48:18.888,mmwsd12,09/03/2024 22:19:23.854,wthiel@blm.gov_BLM_EGIS,,-115.0513726,43.1661952
169,8ca50c36-715d-4818-9942-3be707f6528a,ID,LSWD-NR-001,ID_SHFO_LUP_2023_LSWD-NR-001_V1,ID_SHFO_LUP_2023,IDT03,05,6/7/2024 18:00,2024-06-07,Field Tech 2,Field Tech 2,,,Field tech 2- zoe transtrum,Spoke,,circle,2827.43,30,,,Yes,15,AF05012,,06/11/2024 16:48:20.365,mmwsd12,06/11/2024 16:48:20.365,mmwsd12,,-114.9063745,43.09151256
170,b18ba23a-829f-4049-8591-c0fe218de157,ID,BSCM-017,ID_SHFO_LUP_2023_BSCM-017_V2,ID_SHFO_LUP_2023,IDT03,05,6/9/2024 18:00,2024-06-09,Maggie Welsh,Maggie Welsh,,,,Spoke,,circle,2827.43,30,,,Yes,20,AF05015,,06/11/2024 16:48:22.175,mmwsd12,06/11/2024 16:48:22.175,mmwsd12,,-114.6482916,43.1974012
171,2bec7035-1c5e-4b51-878c-b17ea4564996,ID,SAFO2023-056,ID_SAFO_LUP_2023_SAFO2023-056_V2,ID_SAFO_LUP_2023,IDI04,04,6/5/2024 18:00,2024-06-05,Wilson Colby,Wilson Colby,,,,Spoke,,circle,2827.43,30,,,Yes,20,,,06/11/2024 17:26:54.210,sophielieb3,06/11/2024 17:26:54.210,sophielieb3,"ARTRW8, ATCO, POSE, PSSPS, PHHO, BRTE, EROV, PLPA2, SPAR2, IOAL, ERMI4, LOFO, SAVE4, CHVI8, TRDU, CRMO4, STAC, CAFL7, PESI, OPPO, ASPU9, ARKI, TAOF, LERE7, TEGL, DEPI, LAOC3, ARTR4",-113.8156117,45.19140126
172,a1a45be4-e980-48a8-817e-b2fb3552d7e8,ID,SAFO2023-053,ID_SAFO_LUP_2023_SAFO2023-053_V2,ID_SAFO_LUP_2023,IDI04,04,6/8/2024 18:00,2024-06-08,Wilson Colby,Wilson Colby,Wilson Colby,Wilson Colby,"Filled out at camp from paper sheet, gps may be wrong.",Spoke,,circle,2827.43,30,,,Yes,55,"AF04005, PF04006, AF04007, AF04008, AF04009, AF04010, PF04011, PF04012, PF04013, PF04014, AF04015, PF04016, AG04017",,06/11/2024 17:26:56.048,sophielieb3,07/01/2024 21:07:31.804,wthiel@blm.gov_BLM_EGIS,"TAOF, ARTR4, ARTRT, ARTRV, ERUM, UNXXXX, MEOB, PHLO2, CHVI8, ACMI2, LUAR3, GETR, UNXXXX, ZIVE, FEID, POSE, ANAN2, ANUM, ARKI, ACNE9, ANRO2, VINU2, CIAR4, AGST2, CRMO4, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX",-113.6615333,44.93452259
173,8f52672e-fa75-4d0f-9e40-25547ce6bf57,ID,SAFO2023-052,ID_SAFO_LUP_2023_SAFO2023-052_V2,ID_SAFO_LUP_2023,IDI04,04,6/9/2024 18:00,2024-06-09,Wilson Colby,Wilson Colby,Sophia Lieberman,Wilson Colby,Castilleja chromosa and lappula squarrosa both present on plot- couldnt find a species code in the dropdown for either.,Spoke,,circle,2827.43,30,,,Yes,29,"PF04027, PF04028",,06/11/2024 17:26:57.903,sophielieb3,07/01/2024 23:15:34.289,wthiel@blm.gov_BLM_EGIS,"PSSP6, ARTRW8, ASPU9, OPPO, PESI, POSE, PHHOM, CHVI8, ERNA10, ARFR4, PEPU12, SAVE4, STAC, HECO26, ERMI4, ERCO12, HYFI, OECA10, TEGL, ELEL5, TECA2, TRDU, ANRO2, SELA, ERPU2, LERE7, CAHI9, ARTRV, ALDE, ATCO, EROV, UNXXXX, UNXXXX",-113.2895993,44.60305739
174,058cdf91-0b65-4d40-8db6-35e773774863,ID,SAFO2023-051,ID_SAFO_LUP_2023_SAFO2023-051_V2,ID_SAFO_LUP_2023,IDI04,04,6/10/2024 18:00,2024-06-10,Sophia Lieberman,Sophia Lieberman,Sophia Lieberman,Sophia Lieberman,,Spoke,,circle,2827.43,30,,,Yes,28,,,06/11/2024 17:26:59.418,sophielieb3,06/11/2024 17:26:59.418,sophielieb3,"AGCR, POSE, ARTRW8, CHVI8, EROV, STAC, PHHO, ALDE, HECO26, ERPU2, TECA2, ERNA10, ATGA, MACA2, PHHOM, ARFR4, ANRO2, TAOF, DEPIN, SPAR2, ARLI, ACMI2, PESI, PEPU12, ERCO4, LIPU11, ELEL5, PSSP6, GARA2, OPPO",-113.3107379,44.57456338
